year;month;day;hour;Tint;hum_value;central_heat_flow_value;central_heat_return_value;gas_value;radiator_input_value;radiator_output_value;Day sin;Day cos;Year sin;Year cos;Text;dewPt;rh;pressure;wind_x;wind_y
2017;8;28;18;23.2;601.0;72.3;69.5;;20.5;20.0;-0.8945647831249605;-0.44693830535387374;-0.437039434542308;0.8994423453756998;15.0;56.0;91.0;29.725;-4.437491748277349;-9.516231763884822
2017;8;28;19;23.4;587.0;72.3;69.7;;20.5;19.8;-0.9686974815708407;-0.2482442128193741;-0.08401165203435701;0.9964647722435842;14.4444444444444;54.0;85.0;29.74;-3.249191361593859;-8.927079897466127
2017;8;28;20;23.3;580.0;69.8;67.8;;20.5;19.8;-0.9992630113769071;-0.03838533696550272;0.15841274336000694;0.9873729805606171;13.0555555555555;53.0;91.0;29.755;-4.5000000000000036;-7.794228634059946
2017;8;28;21;23.1;581.0;42.5;43.7;;20.5;19.8;-0.5452834054481667;-0.8382517567788631;0.5031816760512;0.8641806529229321;12.7777777777777;51.0;85.0;29.755;-1.6823237931663841;-6.278517870878944
2017;8;28;22;22.7;579.0;41.4;39.8;;20.7;19.6;-0.7097897634549474;-0.7044135800043678;0.6964727617103408;0.7175832301521342;11.1111111111111;48.0;88.0;29.77;-3.500000000000003;-6.0621778264910695
2017;8;28;23;22.7;581.0;72.1;69.5;;23.2;19.5;-0.8423733272854598;-0.5388944029009984;0.9080747521302984;0.4188081237792517;11.1111111111111;50.0;94.0;29.77;-2.7470187013145497;-5.891000615738223
2017;8;29;0;22.8;562.0;71.7;69.0;7033.0;20.5;19.4;-0.9370711512377037;-0.3491384503575118;0.9822041162432148;0.18781659680359822;8.88888888888889;48.0;100.0;29.77;-3.0000000000000027;-5.196152422706631
2017;8;29;1;22.7;551.0;56.6;56.5;;20.9;19.3;-0.25560206077366077;-0.9667820780963298;0.9839768016418646;-0.1782965334229651;8.88888888888889;46.0;93.0;29.77;-2.5357095704441996;-5.4378467222198985
2017;8;29;2;22.4;544.0;33.4;34.3;;19.7;19.0;-0.45372677824586827;-0.8911408478476479;0.9120877393600911;-0.4099950679081376;8.33333333333333;45.5;93.0;29.755;-3.0000000000000027;-5.196152422706631
2017;8;29;3;21.9;541.0;25.5;25.7;;19.3;18.8;-0.6314451341446131;-0.7754205585133086;0.7033888845164727;-0.7108052315076698;8.33333333333333;45.0;90.0;29.74;-3.7500000000000036;-6.495190528383288
2017;8;29;4;21.5;542.0;21.5;21.5;;19.0;18.6;0.26890782609890473;-0.9631659156462926;0.5115264503287221;-0.8592675314557727;8.88888888888889;46.0;93.0;29.74;-4.301823272632848;-6.143640332167437
2017;8;29;5;21.3;544.0;19.2;19.1;;18.7;18.4;0.059750759932639876;-0.9982133272439675;0.16796662621994643;-0.9857926823000305;10.0;46.0;87.0;29.74;-1.7101007166283468;-4.698463103929541
2017;8;29;6;21.6;549.0;57.6;53.0;3795.0;22.7;18.3;-0.15209359662496683;-0.9883660950607734;-0.07435836148014696;-0.9972315849781273;10.5555555555555;47.0;87.5;29.74;-3.2500000000000027;-5.62916512459885
2017;8;29;7;22.4;555.0;71.9;69.1;1008.0;20.7;18.4;0.7194347974184191;-0.6945599846402888;-0.4283091165056416;-0.9036322818039187;12.2222222222222;50.0;88.0;29.74;-5.448976145334941;-7.78194442074542
2017;8;29;8;22.5;550.0;57.1;56.9;335.0;19.4;18.5;0.5567894480767082;-0.8306536645982096;-0.6333035038181453;-0.7739035289050312;12.5;50.0;85.0;29.74;-7.16970545438808;-10.239400553612395
2017;8;29;9;22.1;555.0;33.1;33.9;;19.0;18.7;0.36910249364907244;-0.9293886965000362;-0.8694105681314537;-0.4940903399393101;12.7777777777777;51.0;85.0;29.74;-5.750000000000005;-9.959292143521042
2017;8;29;10;21.7;558.0;25.1;25.4;;19.0;18.6;0.16481515479583836;-0.9863244723465112;-0.9628058944871151;-0.2701940220302188;13.8888888888888;50.0;77.0;29.71;-5.4940374026290995;-11.782001231476446
2017;8;29;11;21.3;561.0;21.5;21.4;;19.0;18.5;0.900642164226275;-0.4345614939428153;-0.9955288373185731;0.09445810747167269;13.8888888888888;49.0;74.5;29.71;-6.339273926110499;-13.594616805549746
2017;8;29;12;21.0;563.0;19.4;19.2;;19.0;18.5;0.7887497409079729;-0.6147144428249638;-0.9434884342908375;0.33140545312264263;13.8888888888888;48.0;72.0;29.71;-10.037587636143313;-14.335160775057352
2017;8;29;13;20.8;564.0;18.2;18.1;;19.0;18.5;0.6413832984758571;-0.7672206100178941;-0.8359216157937038;0.5488488428054152;14.4444444444444;48.0;69.5;29.71;-7.750000000000007;-13.423393758658797
2017;8;29;14;20.6;566.0;30.6;26.4;2908.0;19.4;18.5;0.9967068775270057;0.08108884195970789;-0.5823497442632546;0.8129383588910797;14.4444444444444;49.0;72.0;29.71;-2.847009496127727;-10.62518408917975
2017;8;29;15;21.7;550.0;71.9;69.2;1118.0;24.4;18.5;0.9913932426060325;-0.1309176783902633;-0.36945500283066;0.9292486216741981;14.4444444444444;47.0;67.5;29.71;-1.9101299543362336;-10.832885283134289
2017;8;29;16;22.1;533.0;71.9;69.2;1118.0;19.9;18.7;0.9414916972066006;-0.3370361762348881;-0.010228599611696788;0.999947686506641;15.0;48.0;67.0;29.68;-8.316858327090172;-11.877704642190379
2017;8;29;17;22.3;525.0;71.4;68.5;1679.0;20.3;18.8;0.8185539088027277;0.5744297157910406;0.23086334465823125;0.972986184944686;13.8888888888888;46.0;67.0;29.68;-8.750000000000007;-15.155444566227674
