features_combination;window_range;home_id;model_name;mse;rmse
hum_value|gas_value|Text|pressure;2;home266;cd6e44ef3bf8d07663f81320a27a2800;0.15252669998102195;0.3905466681217777
hum_value|gas_value|Text|wind_x;2;home266;e3ad98b8135f3788b7b629d0f1e91cdc;0.19140458877266606;0.43749810145035606
gas_value|Text|pressure|wind_x;2;home266;035e2e00e445a5c7d20f369449e42578;0.1871464086309104;0.4326042170748112
hum_value|gas_value|Text|pressure|wind_x;2;home266;fc155166f4688c754edbcb33a398f64d;0.18951978496135696;0.4353387014283901
gas_value|Text;2;home276;0edbfb13a116a340dc56bb96c20bf263;0.07201650161364997;0.2683589044798961
hum_value|gas_value|Text;2;home276;bdf0ced0eddabf68408603174e004386;0.07277055172979204;0.26976017446945727
gas_value|Text|pressure;2;home276;83b52b9eff713810d44d76f6a5e5d490;0.07247943582298326;0.2692200509304299
gas_value|Text|wind_x;2;home276;0d61f8a7f4aa9a956a3740dc6d2f1422;0.0628001097855744;0.2505995007688052
hum_value|gas_value|Text|pressure;2;home276;1e6d3a41c8c2187ed0af405f2a0de7a2;0.0725297160243512;0.26931341597542297
hum_value|gas_value|Text|wind_x;2;home276;e280d1a5f3ec11e62c6d34d20f06edff;0.06326210159064376;0.2515195849047222
gas_value|Text|pressure|wind_x;2;home276;5b0a9eba897601ba0e1691d109ba3206;0.06160474348106684;0.24820302875079273
hum_value|gas_value|Text|pressure|wind_x;2;home276;47ac9fe4207cb2fa6501c65cb1c7fd9e;0.061831517561407444;0.2486594409255507
gas_value|Text;2;home311;e78f372863b7e6a394f24d6f4d0e5c07;0.1406056922188362;0.3749742554080696
hum_value|gas_value|Text;2;home311;ee2f0b45db2f97180a81df980b5eae93;0.14155173175643881;0.3762336132729754
gas_value|Text|pressure;2;home311;6fe833bbde3e89ff1f1404f7f612c8b9;0.1407599848139676;0.3751799365823919
gas_value|Text|wind_x;2;home311;eeb2ddfe9420584d409313f68dceaf98;0.10912912861215805;0.3303469821447716
hum_value|gas_value|Text|pressure;2;home311;df0ec13b25e3ff4fb5e35ba910d5575c;0.142432331812827;0.3774020824171841
hum_value|gas_value|Text|wind_x;2;home311;3b41a571fa1ac08ee11a4f70b783df82;0.11013647985276095;0.33186816637448213
gas_value|Text|pressure|wind_x;2;home311;6e2c158c3a862468c5aeef894296b999;0.10920913557179365;0.33046805529701906
hum_value|gas_value|Text|pressure|wind_x;2;home311;c7f02e373bdf2d7ce1980f6548ac99de;0.10905819230420731;0.330239598328558
gas_value|Text;2;home328;7b967d534989e7e543093f1fbbd84298;0.1219180365968897;0.3491676339480647
hum_value|gas_value|Text;2;home328;04575eec77494a18fa25918e29347b6e;0.12469857389980017;0.3531268524196371
gas_value|Text|pressure;2;home328;979e91faf2a3033d675c4a50749a59d8;0.12939030216670175;0.35970863510166357
gas_value|Text|wind_x;2;home328;79a3bbb7ad2cc1fce607e30c87820ce7;0.13614468320064702;0.3689778898533719
hum_value|gas_value|Text|pressure;2;home328;ef020903131f5497b348a53e5ade045e;0.13081978277373205;0.3616901751136351
hum_value|gas_value|Text|wind_x;2;home328;f7ec53af1f06c596e6c721c16ab06fbb;0.13253884027567342;0.36405884177653675
gas_value|Text|pressure|wind_x;2;home328;7f3ee64b6758c801c350d033521cd325;0.13374774103210932;0.36571538254783503
hum_value|gas_value|Text|pressure|wind_x;2;home328;bf967cff04033c6c7f671e149c155900;0.134517005600936;0.36676560035114525
gas_value|Text;2;home61;4a8e0136a9eedab559ba3712765850ff;0.40233584111302606;0.634299488501312
hum_value|gas_value|Text;2;home61;0f5c32d4acde8b26b8ba55c24e2ba526;0.3978358128055368;0.630742271300677
gas_value|Text|pressure;2;home61;37f255cbeaf351bc6a11d6b151e86b9d;0.4153069689014599;0.6444431463685993
gas_value|Text|wind_x;2;home61;d8367d46dbd6aa412cf2cc2bd24aa0e0;0.20976621605308288;0.458002419265535
hum_value|gas_value|Text|pressure;2;home61;0f6f6af7c5cfbafe8d06cf2ce8819759;0.40856931928595897;0.6391942735084216
hum_value|gas_value|Text|wind_x;2;home61;5eb10e60534a8ee6c5cc70896871df7c;0.20710270404751668;0.45508538105229956
gas_value|Text|pressure|wind_x;2;home61;7d2f57aaacc821489bf9bc129a02fcc7;0.21540069698180284;0.4641128063109257
hum_value|gas_value|Text|pressure|wind_x;2;home61;6bbe403828e0c8349e89c76b50ea6ba2;0.20338439244431245;0.4509815876998887
gas_value|Text;2;home62;4134e2d185049e115f726664404d66e2;0.03328444073785192;0.18244023881219823
hum_value|gas_value|Text;2;home62;4d9194027820a9471a59cd4ed526915e;0.03265364800834544;0.18070320420054936
gas_value|Text|pressure;2;home62;6850ca4d3a79e0bc3f9c7d5205396b93;0.033037441619803196;0.18176204669788243
gas_value|Text|wind_x;2;home62;559758b17691f878209bde2330943a13;0.03664887914483692;0.19143896976539787
hum_value|gas_value|Text|pressure;2;home62;25f019b6107d176e6ffacb15bfd39e8e;0.032469090546747584;0.1801918159816022
