config;model_path;epoch;valid_mse;test_mse
home136_2_hum_value_gas_value_Text_pressure_wind_x_4_256_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\41757026d29c907b36ff54085b6678c5.h5;21;0.0736083984375;0.04632337171293907
home140_2_gas_value_Text_3_128_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\d0849f4d34a34e7df65e9db0e026e339.h5;55;0.04717956855893135;0.07168256345395303
home140_2_gas_value_Text_3_256_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\bbdd2520af2a15d5a574049d5badb1fc.h5;40;0.04431372508406639;0.058460474084223155
home140_2_gas_value_Text_4_128_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\f503c7987a74bc5cef02039a03692619.h5;50;0.04682820290327072;0.0580948167762701
home140_2_gas_value_Text_4_256_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\5cc28e0c2936d0c66e8af8452714a78d.h5;53;0.048309747129678726;0.05173234695793242
home140_2_hum_value_gas_value_Text_3_128_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\e34f43861004b2c5347bd979ed564346.h5;84;0.04828232526779175;0.04383717275014981
home140_2_hum_value_gas_value_Text_3_256_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\96952cc28741055a6735b01c53a2e00b.h5;33;0.045911699533462524;0.044570247874432097
home140_2_hum_value_gas_value_Text_4_128_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\edfae52f96b58e01c503ec96f4cba59e.h5;55;0.04987667500972748;0.03952803928372075
home140_2_hum_value_gas_value_Text_4_256_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\9f1526c89cd33cec76b80c11903603d2.h5;39;0.05529637262225151;0.05413303825243035
home140_2_gas_value_Text_pressure_3_128_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\7457c20929aa2b9faa86dba338fec2a0.h5;18;0.09721404314041138;0.14945201142564474
home140_2_gas_value_Text_pressure_3_256_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\682571c968d2b70fb8f8a9165a25ffb6.h5;33;0.044352758675813675;0.03979649646566761
home140_2_gas_value_Text_pressure_4_128_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\cb4182ebe0f0396885b47996a087e924.h5;41;0.05400810390710831;0.0361983833914561
home140_2_gas_value_Text_pressure_4_256_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\65355e1f57262fe5c64be100114e5e9e.h5;29;0.04801597073674202;0.053443845538607856
home140_2_gas_value_Text_wind_x_3_128_0.2;C:\Users\a.lance\PycharmProjects\UA3412_\Models\DNN\models\86ad64c93c9fea2df2cbf46607b37ac9.h5;45;0.052670612931251526;0.04786931497043914
